pitchid,date,time,pa_number,pa_pitch_number,pitcher,pitcherid,throws,field_team,batter,batterid,batside,bat_team,pitcher_set,inning,inning_half,outs,balls,strikes,pitch_type_tagged,pitch_type_auto,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_z,plate_loc_x,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,exit_speed,angle,direction,hit_spin_rate,pos_at_100_x,pos_at_100_y,pos_at_100_z,distance,last_tracked_distance,bearing,hang_time,pfx_x,pfx_z,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,home_team,away_team,stadium,levelid,leagueid,trackman_gameid,pitch_uid,effective_velo,max_height,measured_duration,speed_drop,pitch_last_measured_x,pitch_last_measured_y,pitch_last_measured_z,contact_position_x,contact_position_y,contact_position_z
1,2020-09-06,13:10:54,1,1,"deGrom, Jacob",594798,Right,"New York Mets","McCutchen, Andrew",457705,Right,"Philadelphia Phillies",,1,Top,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,97.9479,-3.15966,-3.67911,2450.65,210.021,NULL,5.50604,1.33156,6.82227,-10.7031,17.6364,6.50728,1.72929,-1.48664,90.4749,-5.15734,-2.45435,0.383149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.45741,10.4591,-1.09828,50.0022,5.29773,8.93624,-142.303,-8.22129,-9.25156,28.9832,-10.4661,121,143,CITI,MLB,NL,20200906-CITI-1,355a9188-648d-491d-814d-5f575e722ff7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2020-09-06,13:11:08,1,2,"deGrom, Jacob",594798,Right,"New York Mets","McCutchen, Andrew",457705,Right,"Philadelphia Phillies",,1,Top,0,1,0,Undefined,Fastball,InPlay,Undefined,Undefined,Out,0,0,statcast,97.6362,-2.71083,-2.28111,2417.27,208.458,NULL,5.42556,1.29682,7.07109,-12.0961,16.3923,7.94552,1.95501,-0.113058,90.0276,-4.98361,-0.780707,0.384154,88.6981,53.705,17.7199,4691.83,NULL,NULL,NULL,235.743,NULL,32.9276,6.08034,-4.922,9.66567,-1.16392,50.0006,5.25754,5.39878,-142.065,-7.12736,-10.1548,29.6679,-12.2289,121,143,CITI,MLB,NL,20200906-CITI-1,e42681f1-bab9-498e-bc69-ae5ee1759ede,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2020-09-06,13:11:51,2,1,"deGrom, Jacob",594798,Right,"New York Mets","Hoskins, Rhys",656555,Right,"Philadelphia Phillies",,1,Top,1,0,0,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,99.1166,-2.58217,-2.35954,2505.38,216.386,NULL,5.42758,1.26965,6.86712,-10.9784,16.7463,10.3519,2.15785,-0.0194309,91.0608,-4.64949,-0.401388,0.378971,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.28507,9.85929,-1.12491,50.003,5.25863,5.59841,-144.196,-6.87168,-13.3158,31.6309,-11.2852,121,143,CITI,MLB,NL,20200906-CITI-1,3a57f821-c945-4d0b-a1f1-24ed302df3b3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2020-09-06,13:12:12,2,2,"deGrom, Jacob",594798,Right,"New York Mets","Hoskins, Rhys",656555,Right,"Philadelphia Phillies",,1,Top,1,0,1,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,99.1865,-1.43059,-2.89544,2543.48,221.38,NULL,5.455,1.26502,6.86708,-11.6993,16.0966,9.90537,3.17612,-0.550604,90.6258,-3.64322,-1.01814,0.379457,82.7058,57.217,107.195,NULL,NULL,NULL,NULL,225.167,NULL,122.651,5.17727,-6.22854,9.23091,-1.08598,50.002,5.35878,6.97051,-144.293,-3.99426,-13.1478,33.243,-12.687,121,143,CITI,MLB,NL,20200906-CITI-1,b0d8947b-75c8-422c-b621-5d13c5e8c6a2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2020-09-06,13:12:36,2,3,"deGrom, Jacob",594798,Right,"New York Mets","Hoskins, Rhys",656555,Right,"Philadelphia Phillies",,1,Top,1,0,2,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,99.7915,-0.652177,-3.33753,2564.27,204.647,NULL,5.44813,1.08805,6.92844,-10.0447,17.3951,9.7039,4.01747,-1.14497,91.1753,-2.55357,-1.50066,0.377018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.22793,9.72286,-0.884486,50.004,5.40281,8.14228,-145.158,-1.98898,-13.3196,33.3086,-11.3838,121,143,CITI,MLB,NL,20200906-CITI-1,170d29da-83ef-4ecb-a3fe-e70c29a212bd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,2020-09-06,13:12:54,2,4,"deGrom, Jacob",594798,Right,"New York Mets","Hoskins, Rhys",656555,Right,"Philadelphia Phillies",,1,Top,1,1,2,Undefined,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,statcast,99.669,-1.84961,-2.37153,2546.35,206.206,NULL,5.44518,1.1165,6.83203,-11.9008,15.4121,9.52662,2.76611,-0.253725,91.8251,-4.09061,-0.572433,0.376145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-5.80849,8.9115,-0.969342,50.0071,5.3213,5.69057,-145.1,-5.08727,-12.5048,30.9794,-12.9973,121,143,CITI,MLB,NL,20200906-CITI-1,4a569079-ffdc-44f7-8fd8-d9ee56349fc8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2020-09-06,13:13:42,3,1,"deGrom, Jacob",594798,Right,"New York Mets","Harper, Bryce",547180,Left,"Philadelphia Phillies",,1,Top,2,0,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,99.6441,-1.7485,-2.02162,2543.36,213.649,NULL,5.47144,1.24847,7.00922,-11.2047,16.1099,7.53894,2.94821,0.0384826,91.7832,-3.85981,-0.597439,0.376157,80.8679,46.7287,-142.045,NULL,NULL,NULL,NULL,235.132,NULL,-144.968,3.80871,-4.63506,9.26864,-1.12898,50.007,5.35986,4.86976,-145.104,-4.80667,-9.97618,31.059,-12.2355,121,143,CITI,MLB,NL,20200906-CITI-1,05e52e23-f621-44c5-891a-b1a328736ad8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,2020-09-06,13:14:10,3,2,"deGrom, Jacob",594798,Right,"New York Mets","Harper, Bryce",547180,Left,"Philadelphia Phillies",,1,Top,2,0,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,99.1968,-2.41085,-1.1801,2372.44,212.303,NULL,5.46979,1.23132,6.99253,-10.5504,17.0237,7.4305,2.39758,0.777405,91.3987,-4.39739,0.224483,0.377939,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.36514,9.9327,-1.16263,50.0058,5.31745,2.72809,-144.447,-6.43396,-9.30669,30.8865,-11.0024,121,143,CITI,MLB,NL,20200906-CITI-1,985d0561-34ba-4fc7-a36d-9b2f11ee20db,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2020-09-06,13:14:37,3,3,"deGrom, Jacob",594798,Right,"New York Mets","Harper, Bryce",547180,Left,"Philadelphia Phillies",,1,Top,2,0,2,Undefined,Fastball,InPlay,Undefined,Undefined,Single,0,0,statcast,99.2525,-1.41386,-1.1096,2367.98,212.635,NULL,5.57115,1.12265,6.9163,-11.2177,16.3738,6.40189,3.34889,0.645693,91.1244,-3.53342,0.102527,0.378059,104.038,2.66375,-2.10504,3470.88,NULL,NULL,NULL,95.1768,NULL,-3.72636,0.668055,-3.79886,9.34232,-1.05625,50.0013,5.4775,2.5876,-144.586,-3.94208,-8.08554,32.0156,-12.2867,121,143,CITI,MLB,NL,20200906-CITI-1,09dfa9fb-fbb2-445d-9a34-9c14db791b47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,2020-09-06,13:15:27,4,1,"deGrom, Jacob",594798,Right,"New York Mets","Gregorius, Didi",544369,Left,"Philadelphia Phillies",,1,Top,2,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,98.5101,-1.06748,-0.852577,2526.68,208.501,NULL,5.48291,1.16977,6.9057,-11.7156,16.3071,8.11791,3.53445,1.0697,90.3495,-3.28339,0.685367,0.381001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.67592,9.22034,-1.12006,50.0005,5.4105,1.86831,-143.524,-3.06067,-9.79506,31.9022,-12.8554,121,143,CITI,MLB,NL,20200906-CITI-1,43937e0c-8649-403b-980c-d867df5eac92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
